welcome.started,welcome.stopped,ID-Nummer,Alter,Geschlecht (optional),date,expName,psychopyVersion,OS,frameRate,participant,load_guess_conditions.started,load_guess_conditions.stopped,guess_conditions.thisRepN,guess_conditions.thisTrialN,guess_conditions.thisN,guess_conditions.thisIndex,guess_conditions.ran,guess_trial,randomizer,instructions1.started,instructions1.stopped,instruction1_key.keys,instruction1_key.rt,instruction1_key.duration,instructions2.started,instructions2.stopped,instruction2_key.keys,instruction2_key.rt,instruction2_key.duration,instructions3.started,instructions3.stopped,instruction3_key.keys,instruction3_key.rt,instruction3_key.duration,instructions4.started,instructions4.stopped,instruction4_key.keys,instruction4_key.rt,instruction4_key.duration
0,2.993,265801,20,,2024-12-12_17h50.10.341,guess,2024.2.4,Win32,60.16847172,2450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,265801,20,,2024-12-12_17h50.10.341,guess,2024.2.4,Win32,60.16847172,2450,3.019,3.019,0,0,0,29,1,Guess,0.671992113,,,,,,,,,,,,,,,,,,,,
,,265801,20,,2024-12-12_17h50.10.341,guess,2024.2.4,Win32,60.16847172,2450,3.019,3.019,0,1,1,3,1,Guess,0.256354522,,,,,,,,,,,,,,,,,,,,
,,265801,20,,2024-12-12_17h50.10.341,guess,2024.2.4,Win32,60.16847172,2450,3.02,3.02,0,2,2,22,1,Read,0.483519141,,,,,,,,,,,,,,,,,,,,
,,265801,20,,2024-12-12_17h50.10.341,guess,2024.2.4,Win32,60.16847172,2450,3.02,3.02,0,3,3,25,1,Guess,0.077972835,,,,,,,,,,,,,,,,,,,,
,,265801,20,,2024-12-12_17h50.10.341,guess,2024.2.4,Win32,60.16847172,2450,3.02,3.02,0,4,4,6,1,Read,0.777201569,,,,,,,,,,,,,,,,,,,,
,,265801,20,,2024-12-12_17h50.10.341,guess,2024.2.4,Win32,60.16847172,2450,3.02,3.02,0,5,5,12,1,Read,0.24480295,,,,,,,,,,,,,,,,,,,,
,,265801,20,,2024-12-12_17h50.10.341,guess,2024.2.4,Win32,60.16847172,2450,3.02,3.02,0,6,6,14,1,Read,0.118489356,,,,,,,,,,,,,,,,,,,,
,,265801,20,,2024-12-12_17h50.10.341,guess,2024.2.4,Win32,60.16847172,2450,3.02,3.02,0,7,7,20,1,Read,0.85362492,,,,,,,,,,,,,,,,,,,,
,,265801,20,,2024-12-12_17h50.10.341,guess,2024.2.4,Win32,60.16847172,2450,3.021,3.021,0,8,8,28,1,Read,0.516277429,,,,,,,,,,,,,,,,,,,,
